name,l_b,n_b
ADS_Functor,1,6019
ADS_Functor,2,4026
ADS_Functor,3,164
ADS_Functor,4,100
ADS_Functor,5,59
ADS_Functor,6,31
ADS_Functor,7,19
ADS_Functor,8,13
ADS_Functor,9,10
ADS_Functor,10,6
ADS_Functor,11,3
ADS_Functor,12,2
AI_Planning_Languages_Semantics,1,4546
AI_Planning_Languages_Semantics,2,3172
AI_Planning_Languages_Semantics,3,102
AI_Planning_Languages_Semantics,4,75
AI_Planning_Languages_Semantics,5,47
AI_Planning_Languages_Semantics,6,32
AI_Planning_Languages_Semantics,7,12
AI_Planning_Languages_Semantics,8,8
AI_Planning_Languages_Semantics,9,6
AI_Planning_Languages_Semantics,10,5
AI_Planning_Languages_Semantics,11,2
AI_Planning_Languages_Semantics,12,2
AODV,1,11501
AODV,2,9057
AODV,3,142
AODV,4,86
AODV,5,43
AODV,6,42
AODV,7,10
AODV,8,10
AODV,9,9
AODV,10,6
AVL-Trees,1,1224
AVL-Trees,2,487
AVL-Trees,3,13
AVL-Trees,4,11
AVL-Trees,5,7
AVL-Trees,6,6
AVL-Trees,7,3
AVL-Trees,8,3
AVL-Trees,9,2
AVL-Trees,10,2
AWN,1,7491
AWN,2,5875
AWN,3,176
AWN,4,140
AWN,5,72
AWN,6,55
AWN,7,35
AWN,8,29
AWN,9,18
AWN,10,15
AWN,11,11
AWN,12,9
AWN,13,8
AWN,14,5
AWN,15,3
AWN,16,2
AWN,17,2
AWN,18,2
Abortable_Linearizable_Modules,1,3072
Abortable_Linearizable_Modules,2,2376
Abortable_Linearizable_Modules,3,111
Abortable_Linearizable_Modules,4,61
Abortable_Linearizable_Modules,5,43
Abortable_Linearizable_Modules,6,25
Abortable_Linearizable_Modules,7,14
Abortable_Linearizable_Modules,8,11
Abortable_Linearizable_Modules,9,8
Abortable_Linearizable_Modules,10,8
Abortable_Linearizable_Modules,11,6
Abortable_Linearizable_Modules,12,6
Abortable_Linearizable_Modules,13,6
Abortable_Linearizable_Modules,14,4
Abortable_Linearizable_Modules,15,2
Abortable_Linearizable_Modules,16,2
Abs_Int_ITP2012,1,4242
Abs_Int_ITP2012,2,3370
Abs_Int_ITP2012,3,180
Abs_Int_ITP2012,4,123
Abs_Int_ITP2012,5,76
Abs_Int_ITP2012,6,52
Abs_Int_ITP2012,7,28
Abs_Int_ITP2012,8,20
Abs_Int_ITP2012,9,17
Abs_Int_ITP2012,10,12
Abs_Int_ITP2012,11,9
Abs_Int_ITP2012,12,7
Abs_Int_ITP2012,13,6
Abs_Int_ITP2012,14,6
Abs_Int_ITP2012,15,2
Abs_Int_ITP2012,16,2
Abs_Int_ITP2012,17,2
Abstract-Hoare-Logics,1,1720
Abstract-Hoare-Logics,2,472
Abstract-Hoare-Logics,3,19
Abstract-Hoare-Logics,4,9
Abstract-Hoare-Logics,5,8
Abstract-Hoare-Logics,6,6
Abstract-Hoare-Logics,7,5
Abstract-Hoare-Logics,8,5
Abstract-Hoare-Logics,9,5
Abstract-Hoare-Logics,10,4
Abstract-Rewriting,1,2273
Abstract-Rewriting,2,1669
Abstract-Rewriting,3,206
Abstract-Rewriting,4,116
Abstract-Rewriting,5,69
Abstract-Rewriting,6,47
Abstract-Rewriting,7,25
Abstract-Rewriting,8,20
Abstract-Rewriting,9,15
Abstract-Rewriting,10,9
Abstract-Rewriting,11,5
Abstract-Rewriting,12,3
Abstract-Rewriting,13,2
Abstract-Rewriting,14,2
Abstract-Rewriting,15,2
Abstract_Completeness,1,1237
Abstract_Completeness,2,904
Abstract_Completeness,3,47
Abstract_Completeness,4,37
