"in_degree","out_degree","eigenvector","closeness","clustering","betweenness","score","granularity","nodes"
"$.21$","$.21$","$\bf{\shortminus .25}$","$\shortminus .20$","$.15$","$\bf{.25}$","mean","entry","entity"
"$\bf{.26}$","$\bf{.26}$","$.21$","$.23$","$\bf{.28}$","$\bf{.28}$","total","entry","entity"
"$.24$","$\bf{.27}$","$\shortminus .17$","--","$.19$","$\bf{.28}$","max","entry","entity"
"$.20$","$.20$","$\bf{\shortminus .29}$","$\shortminus .15$","--","$\bf{.25}$","mean","entry","position"
"$\bf{.26}$","$\bf{.26}$","--","$\bf{.25}$","$.23$","$\bf{.28}$","total","entry","position"
"$\bf{.25}$","$\bf{.25}$","--","--","$.12$","$\bf{.28}$","max","entry","position"
"$.08$","$.15$","$.06$","$.07$","$.08$","$.23$","mean","theory","entity"
"$.15$","$.19$","$.07$","$.14$","$.18$","$.25$","total","theory","entity"
"$.12$","$.23$","$.07$","$.09$","$.13$","$.24$","max","theory","entity"
"--","$.07$","--","$.05$","$.05$","$.24$","mean","theory","position"
"$.15$","$.19$","$.04$","$.19$","$\bf{.27}$","$\bf{.30}$","total","theory","position"
"$.11$","$.13$","$.04$","$.11$","$.12$","$\bf{.27}$","max","theory","position"
"$.15$","$.19$","$.06$","$.06$","--","$.16$","","theory","theory"
"$.04$","$\shortminus .05$","$.16$","$.07$","$.05$","$.05$","","entity","entity"
"$\shortminus .04$","$.03$","$\shortminus .08$","$\shortminus .01$","$.02$","$.07$","","position","position"
