k_in,n
0.0,1407186
1.0,224055
2.0,137539
3.0,102334
4.0,45003
5.0,29602
6.0,26365
7.0,29491
8.0,21171
9.0,24903
10.0,23437
11.0,17821
12.0,15479
13.0,12726
14.0,11003
15.0,9115
16.0,8723
17.0,6197
18.0,6367
19.0,4890
20.0,5561
21.0,4120
22.0,3868
23.0,4149
24.0,4003
25.0,4154
26.0,3664
27.0,3557
28.0,2998
29.0,2943
30.0,2598
31.0,2272
32.0,2394
33.0,2380
34.0,1946
35.0,2146
36.0,1723
37.0,4551
38.0,1709
39.0,1886
40.0,1894
41.0,1879
42.0,1834
43.0,1710
44.0,1685
45.0,1337
46.0,1562
47.0,1421
48.0,1583
49.0,1163
50.0,1252
51.0,1376
52.0,1065
53.0,1337
54.0,1057
55.0,1193
56.0,1222
57.0,998
58.0,1011
59.0,1029
60.0,937
61.0,892
62.0,987
63.0,1013
64.0,833
65.0,1076
66.0,1221
67.0,1061
68.0,607
69.0,659
70.0,653
71.0,751
72.0,590
73.0,744
74.0,894
75.0,605
76.0,646
77.0,475
78.0,600
79.0,483
80.0,477
81.0,548
82.0,1234
83.0,508
84.0,591
85.0,1464
86.0,783
87.0,694
88.0,675
89.0,1133
90.0,684
91.0,699
92.0,577
93.0,587
94.0,661
95.0,898
96.0,828
97.0,409
98.0,433
99.0,377
100.0,440
101.0,454
102.0,370
103.0,389
104.0,408
105.0,424
106.0,395
107.0,341
108.0,343
109.0,363
110.0,396
111.0,392
112.0,337
113.0,372
114.0,361
115.0,329
116.0,338
117.0,369
118.0,330
119.0,349
120.0,347
121.0,361
122.0,356
123.0,351
124.0,454
125.0,354
126.0,263
127.0,384
128.0,320
129.0,341
130.0,306
131.0,285
132.0,241
133.0,310
134.0,275
135.0,244
136.0,211
137.0,250
138.0,260
139.0,345
140.0,294
141.0,219
142.0,210
143.0,188
144.0,295
145.0,227
146.0,211
147.0,219
148.0,282
149.0,320
150.0,229
151.0,245
152.0,206
153.0,165
154.0,216
155.0,294
156.0,210
157.0,848
158.0,325
159.0,166
160.0,199
161.0,145
162.0,181
163.0,169
164.0,190
165.0,143
166.0,188
167.0,151
168.0,231
169.0,277
170.0,174
171.0,183
172.0,175
173.0,146
174.0,179
175.0,186
176.0,171
177.0,134
178.0,214
179.0,180
180.0,154
181.0,140
182.0,137
183.0,146
184.0,177
185.0,141
186.0,169
187.0,126
188.0,162
189.0,158
190.0,155
191.0,194
192.0,138
193.0,133
194.0,153
195.0,96
196.0,127
197.0,222
198.0,129
199.0,152
200.0,113
201.0,117
202.0,122
203.0,95
204.0,106
205.0,173
206.0,89
207.0,207
208.0,200
209.0,129
210.0,158
211.0,127
212.0,126
213.0,115
214.0,140
215.0,111
216.0,171
217.0,157
218.0,168
219.0,162
220.0,114
221.0,118
222.0,129
223.0,126
224.0,116
225.0,168
226.0,136
227.0,120
228.0,108
229.0,159
230.0,99
231.0,119
232.0,101
233.0,85
234.0,82
235.0,100
236.0,82
237.0,145
238.0,137
239.0,114
240.0,97
241.0,88
242.0,53
243.0,75
244.0,97
245.0,65
246.0,131
247.0,115
248.0,185
249.0,218
250.0,240
251.0,96
252.0,148
253.0,89
254.0,89
255.0,76
256.0,83
257.0,79
258.0,74
259.0,83
260.0,74
261.0,240
262.0,113
263.0,82
264.0,126
265.0,74
266.0,76
267.0,76
268.0,135
269.0,175
270.0,131
271.0,88
272.0,93
273.0,96
274.0,50
275.0,53
276.0,57
277.0,77
278.0,68
279.0,60
280.0,56
281.0,51
282.0,42
283.0,37
284.0,70
285.0,44
286.0,72
287.0,60
288.0,64
