name,nodes,edges,sloc
pGCL,1778,9961,8519
Zeta_Function,338,757,4928
Zeta_3_Irrational,132,273,1743
ZFC_in_HOL,1162,8602,6788
XML,1853,7809,1165
X86_Semantics,2606,16919,2349
WorkerWrapper,2773,17514,1903
Word_Lib,4084,8451,14463
Winding_Number_Eval,367,1065,8723
Well_Quasi_Orders,2191,15944,2377
Weight_Balanced_Trees,1177,4095,516
Weighted_Path_Order,1075,3802,4097
WebAssembly,13386,327790,11363
WOOT_Strong_Eventual_Consistency,4480,50564,1942
WHATandWHERE_Security,1218,10676,2037
VolpanoSmith,1551,12685,1008
Virtual_Substitution,8481,124525,21441
Vickrey_Clarke_Groves,1224,3423,4629
VerifyThis2019,978,3460,1538
VerifyThis2018,2376,15574,3024
Verified_SAT_Based_AI_Planning,2726,14193,15172
Verified-Prover,803,5541,1025
VeriComp,674,4324,977
VectorSpace,266,911,2117
Van_der_Waerden,121,302,923
Van_Emde_Boas_Trees,5187,37238,19919
Valuation,676,3112,9387
UpDown_Scheme,654,3051,2773
Universal_Turing_Machine,12669,71788,15611
UTP,5903,51228,8772
UPF_Firewall,11955,98342,7419
UPF,4296,72466,1943
Types_To_Sets_Extension,5290,30882,16138
Types_Tableaus_and_Goedels_God,240,956,758
Tycon,2226,19723,1906
Twelvefold_Way,220,624,4192
Trie,521,3572,430
Triangle,225,668,416
Tree_Decomposition,700,4144,904
Tree-Automata,3156,17167,4302
Treaps,237,495,1708
Transitive-Closure-II,113,269,325
Transitive-Closure,175,350,832
Transition_Systems_and_Automata,9284,70436,5975
Transformer_Semantics,1827,9233,1434
Transcendence_Series_Hancl_Rucki,18,23,946
TortoiseHare,518,2130,540
Topology,549,1893,2227
Topological_Semantics,1263,8687,2228
Timed_Automata,4804,45981,17304
Three_Circles,340,435,3683
Taylor_Models,4171,62432,4128
Tarskis_Geometry,1548,9449,9636
Tail_Recursive_Functions,981,5894,819
TLA,1260,9365,3672
TESL_Language,3002,41122,3557
Szemeredi_Regularity,84,223,906
Szpilrajn,113,314,649
Syntax_Independent_Logic,1647,11661,7733
Symmetric_Polynomials,466,1478,2549
Surprise_Paradox,454,3520,121
SuperCalc,3052,20636,9027
Sunflowers,22,47,573
SumSquares,39,69,953
Subset_Boolean_Algebras,1916,27604,3004
Subresultants,924,2255,3303
Stuttering_Equivalence,213,528,1201
Sturm_Tarski,210,573,1711
Sturm_Sequences,349,870,2819
Strong_Security,1435,12395,1291
Stream_Fusion_Code,2238,18373,1767
Stream-Fusion,1608,9847,782
Store_Buffer_Reduction,4240,38637,31971
Stone_Relation_Algebras,5998,70779,3677
Stone_Kleene_Relation_Algebras,3077,54193,5250
Stone_Algebras,3720,29036,3790
Stochastic_Matrices,197,845,447
Stirling_Formula,154,367,2315
Stewart_Apollonius,4,3,72
Stern_Brocot,7974,249451,1007
Stellar_Quorums,179,477,456
Stateful_Protocol_Composition_and_Typing,14880,281685,20926
Statecharts,3740,36458,5771
Stable_Matching,4708,47222,5351
Sqrt_Babylonian,367,1034,1316
Splay_Tree,427,999,451
Special_Function_Bounds,436,910,1575
SpecCheck,0,0,177
Source_Coding_Theorem,94,255,527
Sort_Encodings,5357,49799,3447
Smooth_Manifolds,2830,18467,7731
Smith_Normal_Form,1412,4550,12212
Sliding_Window_Algorithm,619,5179,686
Slicing,5481,46327,14032
Skip_Lists,230,594,2192
Skew_Heap,137,279,56
SimplifiedOntologicalArgument,188,844,357
Simplicial_complexes_and_boolean_functions,670,2725,1743
Simplex,6579,67107,9441
Simple_Firewall,4510,25133,3295
Simpl,10688,88748,28230
Signature_Groebner,7735,44071,9676
Sigma_Commit_Crypto,1241,4387,3690
Show,946,2340,712
ShortestPath,192,488,514
Shivers-CFA,3355,34289,2248
Shadow_SC_DOM,5445,34903,14837
Shadow_DOM,5179,33024,12167
SequentInvertibility,5997,57319,6069
Separation_Logic_Imperative_HOL,3052,16157,5970
Separation_Algebra,3254,19989,2275
Separata,196,671,710
SenSocialChoice,238,951,1877
Selection_Heap_Sort,845,8286,2034
Security_Protocol_Refinement,10703,136225,11278
Secondary_Sylow,114,338,1138
Schutz_Spacetime,649,3555,7588
Saturation_Framework_Extensions,541,2854,1960
Saturation_Framework,842,5655,2940
Safe_OCL,17404,433853,3975
Safe_Distance,540,2290,2953
SPARCv8,18852,248059,13840
SIFUM_Type_Systems,2602,30717,3974
SIFPL,4923,55342,4777
SDS_Impossibility,1200,36263,589
SC_DOM_Components,1118,3701,7627
SATSolverVerification,2299,17887,29560
Roy_Floyd_Warshall,88,159,167
Routing,900,4660,557
