name,theory,l_b,n_b
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Code_Double,1,1077
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Code_Double,2,960
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Code_Double,3,22
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Code_Double,4,18
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Code_Double,5,10
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Code_Double,6,7
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Code_Double,7,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Code_Double,8,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Event_Data,1,576
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Event_Data,2,428
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Event_Data,3,16
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Event_Data,4,8
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Event_Data,5,6
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Event_Data,6,4
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Event_Data,7,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,1,997
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,2,718
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,3,31
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,4,21
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,5,15
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,6,10
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,7,5
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,8,4
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,9,4
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,10,4
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Regex,11,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,1,4896
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,2,4042
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,3,52
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,4,30
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,5,22
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,6,21
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,7,12
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,8,10
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,9,9
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,10,8
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,11,3
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Formula,12,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,1,379
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,2,269
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,3,66
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,4,43
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,5,27
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,6,13
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,7,8
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,8,5
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,9,4
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,10,3
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,11,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_Join,12,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,1,4807
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,2,3886
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,3,216
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,4,150
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,5,93
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,6,50
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,7,36
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,8,28
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,9,15
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,10,9
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,11,3
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,12,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor,13,2
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,1,1214
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,2,883
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,3,100
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,4,67
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,5,35
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,6,18
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,7,12
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,8,10
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,9,5
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,10,4
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,11,4
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Optimized_MTL,12,3
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor_Impl,1,871
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor_Impl,2,245
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor_Impl,3,24
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor_Impl,4,20
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor_Impl,5,6
MFODL_Monitor_Optimized,MFODL_Monitor_Optimized.Monitor_Impl,6,5
InfPathElimination,InfPathElimination.Graph,1,326
InfPathElimination,InfPathElimination.Graph,2,221
InfPathElimination,InfPathElimination.Graph,3,4
InfPathElimination,InfPathElimination.Graph,4,2
InfPathElimination,InfPathElimination.Graph,5,2
InfPathElimination,InfPathElimination.Aexp,1,9
InfPathElimination,InfPathElimination.Aexp,2,4
InfPathElimination,InfPathElimination.Bexp,1,18
InfPathElimination,InfPathElimination.Bexp,2,7
InfPathElimination,InfPathElimination.Bexp,3,3
InfPathElimination,InfPathElimination.Bexp,4,2
InfPathElimination,InfPathElimination.Labels,1,257
InfPathElimination,InfPathElimination.Labels,2,172
InfPathElimination,InfPathElimination.Labels,3,10
InfPathElimination,InfPathElimination.Labels,4,7
InfPathElimination,InfPathElimination.Labels,5,4
InfPathElimination,InfPathElimination.Labels,6,4
InfPathElimination,InfPathElimination.Store,1,35
InfPathElimination,InfPathElimination.Store,2,18
InfPathElimination,InfPathElimination.Store,3,8
